Model,LOSS_valid,PEARSON_valid,SPEARMAN_valid,NDCG_mean_valid,PO10_valid,PO50_valid,PO100_valid,NEG10_valid,NEG50_valid,NEG100_valid
fold_1,2.1876253724441748,0.5075,0.4976,1.0,0.7006,0.5944,0.5283,0.7421,0.6273,0.5592
fold_2,2.1885074710296277,0.5079,0.4982,1.0,0.7024,0.5956,0.5272,0.733,0.6305,0.5588
fold_3,2.170900699384618,0.5124,0.5023,1.0,0.7076,0.6009,0.5325,0.746,0.6365,0.5642
fold_4,2.172089570537424,0.5131,0.5032,1.0,0.7122,0.6012,0.5338,0.7457,0.6377,0.565
