Model,LOSS_valid,PEARSON_valid,SPEARMAN_valid,NDCG_mean_valid,PO10_valid,PO50_valid,PO100_valid,NEG10_valid,NEG50_valid,NEG100_valid
fold_1,2.3121225690267173,0.5622,0.556,1.0,0.7745,0.6633,0.5812,0.7818,0.681,0.6127
fold_2,2.3031661567917787,0.5638,0.5579,1.0,0.7682,0.6632,0.5813,0.7807,0.6804,0.6139
fold_3,2.2861386006136977,0.5684,0.5622,1.0,0.7729,0.6694,0.5861,0.7852,0.6869,0.6168
fold_4,2.2855821431401266,0.5685,0.5623,1.0,0.7764,0.668,0.5884,0.7946,0.687,0.6187
